Category,Month,Value,Year,Source
ENCAMINHADOS para curso profissionalizante,MAR,0.0,2021,LEM_2021.xlsx
Efetivos na casa,MAR,14.0,2021,LEM_2021.xlsx
Ensino EJA,MAR,,2021,LEM_2021.xlsx
Ensino infantil,MAR,,2021,LEM_2021.xlsx
Ensino regular,MAR,,2021,LEM_2021.xlsx
Evasão,MAR,0.0,2021,LEM_2021.xlsx
INSERIDO no mercado de trabalho,MAR,0.0,2021,LEM_2021.xlsx
INSERIDOS em curso profissionalizante,MAR,0.0,2021,LEM_2021.xlsx
Interface com educação,MAR,39.0,2021,LEM_2021.xlsx
Interface com judiciário,MAR,10.0,2021,LEM_2021.xlsx
Interface com rede socioassistencial,MAR,12.0,2021,LEM_2021.xlsx
Interface com saúde,MAR,11.0,2021,LEM_2021.xlsx
Internações,MAR,0.0,2021,LEM_2021.xlsx
Novos ingressos,MAR,1.0,2021,LEM_2021.xlsx
"Outros: Reforço escolar, psicopedagoga, trabalho educativo",MAR,0.0,2021,LEM_2021.xlsx
PIAS / Relatórios,MAR,8.0,2021,LEM_2021.xlsx
PROFISSIONALIZAÇÃO,MAR,,2021,LEM_2021.xlsx
"Reunião de equipe (técnica, casa, coordenação, gerente)",MAR,7.0,2021,LEM_2021.xlsx
SAÚDE,MAR,,2021,LEM_2021.xlsx
SCFV,MAR,,2021,LEM_2021.xlsx
Saude mental,MAR,17.0,2021,LEM_2021.xlsx
Saúde Clínica,MAR,9.0,2021,LEM_2021.xlsx
Transferências,MAR,0.0,2021,LEM_2021.xlsx
Visitas Domiciliares,MAR,0.0,2021,LEM_2021.xlsx
aguardando vaga,MAR,0.0,2021,LEM_2021.xlsx
matriculados,MAR,0.0,2021,LEM_2021.xlsx
,MAR,,2021,LEM_2021.xlsx
Apadrinhamento afetivo,ABR,0.0,2021,LEM_2021.xlsx
Atedimento familiar,ABR,5.0,2021,LEM_2021.xlsx
Atendimentos indvidual,ABR,10.0,2021,LEM_2021.xlsx
Colocação em família substituta,ABR,0.0,2021,LEM_2021.xlsx
DESDOBRAMENTOS TÉCNICOS,ABR,,2021,LEM_2021.xlsx
Desligamentos,ABR,0.0,2021,LEM_2021.xlsx
Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),ABR,1.0,2021,LEM_2021.xlsx
EDUCAÇÃO,ABR,,2021,LEM_2021.xlsx
ENCAMINHADO para mercado de trabalho,ABR,0.0,2021,LEM_2021.xlsx
ENCAMINHADOS para curso profissionalizante,ABR,0.0,2021,LEM_2021.xlsx
Efetivos na casa,ABR,15.0,2021,LEM_2021.xlsx
Ensino EJA,ABR,,2021,LEM_2021.xlsx
Ensino infantil,ABR,,2021,LEM_2021.xlsx
Ensino regular,ABR,,2021,LEM_2021.xlsx
Evasão,ABR,0.0,2021,LEM_2021.xlsx
INSERIDO no mercado de trabalho,ABR,0.0,2021,LEM_2021.xlsx
INSERIDOS em curso profissionalizante,ABR,0.0,2021,LEM_2021.xlsx
Interface com educação,ABR,10.0,2021,LEM_2021.xlsx
Interface com judiciário,ABR,5.0,2021,LEM_2021.xlsx
Interface com rede socioassistencial,ABR,7.0,2021,LEM_2021.xlsx
Interface com saúde,ABR,6.0,2021,LEM_2021.xlsx
Internações,ABR,0.0,2021,LEM_2021.xlsx
Novos ingressos,ABR,1.0,2021,LEM_2021.xlsx
"Outros: Reforço escolar, psicopedagoga, trabalho educativo",ABR,0.0,2021,LEM_2021.xlsx
PIAS / Relatórios,ABR,3.0,2021,LEM_2021.xlsx
PROFISSIONALIZAÇÃO,ABR,,2021,LEM_2021.xlsx
"Reunião de equipe (técnica, casa, coordenação, gerente)",ABR,3.0,2021,LEM_2021.xlsx
SAÚDE,ABR,,2021,LEM_2021.xlsx
SCFV,ABR,,2021,LEM_2021.xlsx
Saude mental,ABR,12.0,2021,LEM_2021.xlsx
Saúde Clínica,ABR,8.0,2021,LEM_2021.xlsx
Transferências,ABR,0.0,2021,LEM_2021.xlsx
Visitas Domiciliares,ABR,0.0,2021,LEM_2021.xlsx
aguardando vaga,ABR,0.0,2021,LEM_2021.xlsx
matriculados,ABR,0.0,2021,LEM_2021.xlsx
,ABR,,2021,LEM_2021.xlsx
Apadrinhamento afetivo,MAI,0.0,2021,LEM_2021.xlsx
Atedimento familiar,MAI,13.0,2021,LEM_2021.xlsx
Atendimentos indvidual,MAI,51.0,2021,LEM_2021.xlsx
Colocação em família substituta,MAI,0.0,2021,LEM_2021.xlsx
DESDOBRAMENTOS TÉCNICOS,MAI,,2021,LEM_2021.xlsx
Desligamentos,MAI,0.0,2021,LEM_2021.xlsx
Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),MAI,1.0,2021,LEM_2021.xlsx
EDUCAÇÃO,MAI,,2021,LEM_2021.xlsx
ENCAMINHADO para mercado de trabalho,MAI,0.0,2021,LEM_2021.xlsx
ENCAMINHADOS para curso profissionalizante,MAI,0.0,2021,LEM_2021.xlsx
Efetivos na casa,MAI,16.0,2021,LEM_2021.xlsx
Ensino EJA,MAI,,2021,LEM_2021.xlsx
Ensino infantil,MAI,,2021,LEM_2021.xlsx
Ensino regular,MAI,,2021,LEM_2021.xlsx
Evasão,MAI,1.0,2021,LEM_2021.xlsx
INSERIDO no mercado de trabalho,MAI,0.0,2021,LEM_2021.xlsx
INSERIDOS em curso profissionalizante,MAI,0.0,2021,LEM_2021.xlsx
Interface com educação,MAI,1.0,2021,LEM_2021.xlsx
Interface com judiciário,MAI,9.0,2021,LEM_2021.xlsx
Interface com rede socioassistencial,MAI,15.0,2021,LEM_2021.xlsx
Interface com saúde,MAI,20.0,2021,LEM_2021.xlsx
Internações,MAI,0.0,2021,LEM_2021.xlsx
Novos ingressos,MAI,1.0,2021,LEM_2021.xlsx
"Outros: Reforço escolar, psicopedagoga, trabalho educativo",MAI,0.0,2021,LEM_2021.xlsx
PIAS / Relatórios,MAI,15.0,2021,LEM_2021.xlsx
PROFISSIONALIZAÇÃO,MAI,,2021,LEM_2021.xlsx
"Reunião de equipe (técnica, casa, coordenação, gerente)",MAI,5.0,2021,LEM_2021.xlsx
SAÚDE,MAI,,2021,LEM_2021.xlsx
SCFV,MAI,,2021,LEM_2021.xlsx
Saude mental,MAI,15.0,2021,LEM_2021.xlsx
Saúde Clínica,MAI,0.0,2021,LEM_2021.xlsx
Transferências,MAI,0.0,2021,LEM_2021.xlsx
Visitas Domiciliares,MAI,0.0,2021,LEM_2021.xlsx
aguardando vaga,MAI,0.0,2021,LEM_2021.xlsx
matriculados,MAI,0.0,2021,LEM_2021.xlsx
,MAI,,2021,LEM_2021.xlsx
Apadrinhamento afetivo,JUN,0.0,2021,LEM_2021.xlsx
Atedimento familiar,JUN,28.0,2021,LEM_2021.xlsx
Atendimentos indvidual,JUN,61.0,2021,LEM_2021.xlsx
Colocação em família substituta,JUN,0.0,2021,LEM_2021.xlsx
DESDOBRAMENTOS TÉCNICOS,JUN,,2021,LEM_2021.xlsx
Desligamentos,JUN,1.0,2021,LEM_2021.xlsx
Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),JUN,0.0,2021,LEM_2021.xlsx
EDUCAÇÃO,JUN,,2021,LEM_2021.xlsx
ENCAMINHADO para mercado de trabalho,JUN,0.0,2021,LEM_2021.xlsx
ENCAMINHADOS para curso profissionalizante,JUN,0.0,2021,LEM_2021.xlsx
Efetivos na casa,JUN,18.0,2021,LEM_2021.xlsx
Ensino EJA,JUN,,2021,LEM_2021.xlsx
Ensino infantil,JUN,,2021,LEM_2021.xlsx
Ensino regular,JUN,,2021,LEM_2021.xlsx
Evasão,JUN,0.0,2021,LEM_2021.xlsx
INSERIDO no mercado de trabalho,JUN,0.0,2021,LEM_2021.xlsx
INSERIDOS em curso profissionalizante,JUN,0.0,2021,LEM_2021.xlsx
Interface com educação,JUN,25.0,2021,LEM_2021.xlsx
Interface com judiciário,JUN,2.0,2021,LEM_2021.xlsx
Interface com rede socioassistencial,JUN,20.0,2021,LEM_2021.xlsx
Interface com saúde,JUN,24.0,2021,LEM_2021.xlsx
Internações,JUN,0.0,2021,LEM_2021.xlsx
Novos ingressos,JUN,2.0,2021,LEM_2021.xlsx
"Outros: Reforço escolar, psicopedagoga, trabalho educativo",JUN,0.0,2021,LEM_2021.xlsx
PIAS / Relatórios,JUN,5.0,2021,LEM_2021.xlsx
PROFISSIONALIZAÇÃO,JUN,,2021,LEM_2021.xlsx
"Reunião de equipe (técnica, casa, coordenação, gerente)",JUN,5.0,2021,LEM_2021.xlsx
SAÚDE,JUN,,2021,LEM_2021.xlsx
SCFV,JUN,,2021,LEM_2021.xlsx
Saude mental,JUN,17.0,2021,LEM_2021.xlsx
Saúde Clínica,JUN,14.0,2021,LEM_2021.xlsx
Transferências,JUN,1.0,2021,LEM_2021.xlsx
Visitas Domiciliares,JUN,1.0,2021,LEM_2021.xlsx
aguardando vaga,JUN,0.0,2021,LEM_2021.xlsx
matriculados,JUN,0.0,2021,LEM_2021.xlsx
,JUN,,2021,LEM_2021.xlsx
Apadrinhamento afetivo,JUL,0.0,2021,LEM_2021.xlsx
Atedimento familiar,JUL,23.0,2021,LEM_2021.xlsx
Atendimentos indvidual,JUL,48.0,2021,LEM_2021.xlsx
Colocação em família substituta,JUL,0.0,2021,LEM_2021.xlsx
DESDOBRAMENTOS TÉCNICOS,JUL,,2021,LEM_2021.xlsx
Desligamentos,JUL,0.0,2021,LEM_2021.xlsx
Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),JUL,2.0,2021,LEM_2021.xlsx
EDUCAÇÃO,JUL,,2021,LEM_2021.xlsx
ENCAMINHADO para mercado de trabalho,JUL,0.0,2021,LEM_2021.xlsx
ENCAMINHADOS para curso profissionalizante,JUL,0.0,2021,LEM_2021.xlsx
Efetivos na casa,JUL,18.0,2021,LEM_2021.xlsx
