LEM - Levantamento Estatístico Mensal/2025,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,,,,,,,
DESDOBRAMENTOS TÉCNICOS,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,,,desdobramentos técnicos,,,,,
Atendimentos indvidual,53,42,56,52,49,65,66,63,60,70,49,66,,,0,,,,,
Atedimento familiar,24,27,31,28,25,36,32,48,18,50,25,32,,,,,,,,
Interface com rede socioassistencial ,9,11,12,13,12,17,9,26,25,28,12,9,,,,,,,,
Interface com judiciário,4,3,5,3,4,4,1,4,5,8,4,1,,,,,,,,
Interface com saúde,2,10,8,12,14,17,15,8,14,12,14,13,,,,,,, ,
Interface com educação,23,35,19,23,26,22,18,26,21,21,25,18,,,,,,,,
PIAS / Relatórios,22,7,16,22,9,17,14,25,5,12,9,14,,,,,,,,
Visitas Domiciliares,1,0,3,2,1,2,0,0,1,2,5,5,,,,,,,,
Apadrinhamento afetivo,3,3,3,1,2,0,2,0,0,1,2,2,,,,,,,,
Colocação em família substituta,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"Reunião de equipe (técnica, casa, coordenação, gerente)",6,4,5,6,6,6,7,8,7,12,6,7,,,,,,,,
Desligamentos,0,0,1,1,0,1,0,1,0,1,0,0,,,,,,,,
Evasão,2,3,3,2,4,2,1,0,0,1,4,1,,,,,,,,
Novos ingressos,0,1,0,1,3,0,1,1,1,0,3,1,,,,,,,,
Transferências,0,0,0,1,2,0,1,0,0,0,2,1,,,,,,,,  
Efetivos na casa,19,20,19,19,20,20,20,20,20,20,20,20,,,,,,,,
Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),3,0,0,2,6,4,4,0,1,2,6,15,,,,,,,,
PROFISSIONALIZAÇÃO,,,,,,,,,,,,,,,profissionalização ,,,,,
INSERIDOS em curso profissionalizante,1,0,1,1,0,1,0,1,0,0,,,,,0,,,,,
ENCAMINHADOS para curso profissionalizante,10,15,32,30,31,42,32,27,33,34,,,,,,,,,,
INSERIDO no mercado de trabalho,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ENCAMINHADO para mercado de trabalho,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
SAÚDE,,,,,,,,,,,,,,,Encaminhamentos saúde,,,,,
Saude mental ,10,15,32,30,31,42,32,27,33,34,,,,,0,,,,,
Saúde Clínica,27,22,24,21,23,18,27,28,25,25,,,,,,,,,,
Internações,1,2,0,0,1,1,0,3,1,2,,,,,,,,,,
                          EDUCAÇÃO,,,,,,,,,,,,,,,Encaminhamento educação,,,,,
Ensino infantil ,,,,,,,,,,,,,,,0,,,,,
            matriculados,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
            aguardando vaga,0,0,0,,0,0,0,0,1,1,,,,,,,,,,
Ensino regular ,,,,,,,,,,,,,,,,,,,,
            matriculados,0,0,1,0,3,o,1,0,0,0,,,,,,,,,,
            aguardando vaga,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,
Ensino EJA ,,,,,,,,,,,,,,,,,,,,
            matriculados,0,0,2,0,0,0,0,0,0,0,,,,,,,,,,
            aguardando vaga,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
SCFV ,,,,,,,,,,,,,,,,,,,,
            matriculados,0,0,1,0,0,0,0,0,0,2,,,,,,,,,,
            aguardando vaga,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Outros: Reforço escolar, psicopedagoga, trabalho educativo",,,1,0,0,1,2,2,1,4,,,,,,,,,,
