LEM - Levantamento estatístico Mensal/2021,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,,,,,,,
DESDOBRAMENTOS TÉCNICOS,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,,,desdobramentos técnicos,,,,,
Atendimentos indvidual,40,28,41,10,51,61,48,40,62,58,58,58,555.0,,1892,,,,,
Atedimento familiar,31,6,27,5,13,28,23,26,29,24,24,24,260.0,,,,,,,
Interface com rede socioassistencial ,10,15,12,7,15,20,18,8,20,12,15,12,164.0,,,,,,,
Interface com judiciário,8,2,10,5,9,2,7,6,4,6,6,6,71.0,,,,,,,
Interface com saúde,18,11,11,6,20,24,13,,26,10,10,10,159.0,,,,,, ,
Interface com educação,9,3,39,10,1,25,10,33,27,18,25,39,239.0,,,,,,,
PIAS / Relatórios,17,5,8,3,15,5,15,,10,13,5,8,104.0,,,,,,,
Visitas Domiciliares,2,1,0,0,0,1,0,1,3,0,1,0,9.0,,,,,,,
Apadrinhamento afetivo,0,0,12,0,0,0,0,,0,0,0,12,24.0,,,,,,,
Colocação em família substituta,0,0,0,0,0,0,0,3,0,0,0,0,3.0,,,,,,,
"Reunião de equipe (técnica, casa, coordenação, gerente)",6,4,7,3,5,5,3,6,8,9,5,7,68.0,,,,,,,
Desligamentos,0,1,0,0,0,1,0,4,0,0,1,0,7.0,,,,,,,
Evasão,2,1,0,0,1,0,1,0,4,3,0,0,12.0,,,,,,,
Novos ingressos,0,0,1,1,1,2,0,1,1,1,2,1,11.0,,,,,,,
Transferências,0,0,0,0,0,1,0,0,1,0,1,0,3.0,,,,,,,  
Efetivos na casa,15,14,14,15,16,18,18,15,16,15,18,14,188.0,,,,,,,
Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),0,0,0,1,1,0,2,2,3,3,0,3,15.0,,,,,,,
PROFISSIONALIZAÇÃO,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,OUT,OUT,1892.0,,profissionalização ,,,,,
INSERIDOS em curso profissionalizante,0,2,0,0,0,0,0,0,0,0,0,0,2.0,,20,,,,,
ENCAMINHADOS para curso profissionalizante,0,0,0,0,0,0,0,0,0,6,6,6,18.0,,,,,,,
INSERIDO no mercado de trabalho,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
ENCAMINHADO para mercado de trabalho,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
SAÚDE,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,OUT,OUT,20.0,,Encaminhamentos saúde,,,,,
Saude mental ,27,15,17,12,15,17,9,,17,25,25,25,204.0,,314,,,,,
Saúde Clínica,11,8,9,8,0,14,13,,10,12,12,12,109.0,,,,,,,
Internações,0,0,0,0,0,0,0,,1,0,0,0,1.0,,,,,,,
                          EDUCAÇÃO,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,OUT,OUT,314.0,,Encaminhamento educação,,,,,
Ensino infantil ,,,,,,,,,0,,,,,,109,,,,,
            matriculados,2,2,2,1,5,4,6,7,1,0,0,0,30.0,,,,,,,
            aguardando vaga,3,4,4,6,4,4,6,6,5,4,4,4,54.0,,,,,,,
Ensino regular ,,,,  ,,,,,,,,,0.0,,,,,,,
            matriculados,12,0,3,0,0,0,0,1,1,1,1,1,20.0,,,,,,,
            aguardando vaga,3,0,0,0,0,0,0,0,0,0,0,0,3.0,,,,,,,
Ensino EJA ,,,,,,,,,,,,,0.0,,,,,,,
            matriculados,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
            aguardando vaga,0,0,0,0,0,0,0,,0,0,0,0,0.0,,,,,,,
SCFV ,,,,,,,,,,,,,0.0,,,,,,,
            matriculados,0,0,0,0,0,0,0,0,2,0,0,0,2.0,,,,,,,
            aguardando vaga,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
"Outros: Reforço escolar, psicopedagoga, trabalho educativo",0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
,,,,,,,,,,,,,109.0,,,,,,,
