LEM - Levantamento Estatístico Mensal/2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,,,,,,,
DESDOBRAMENTOS TÉCNICOS,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,,,desdobramentos técnicos,,,,,
Atendimentos indvidual,62,58,65,78,50,57,60,69,75,26,49,52,701.0,,0,,,,,
Atedimento familiar,47,42,50,52,33,49,51,56,45,7,30,28,490.0,,,,,,,
Interface com rede socioassistencial ,24,21,15,19,25,18,22,15,18,16,17,12,222.0,,,,,,,
Interface com judiciário,3,3,5,4,3,2,4,7,6,4,8,10,59.0,,,,,,,
Interface com saúde,7,14,12,15,11,9,10,9,12,6,18,20,143.0,,,,,, ,
Interface com educação,21,6,10,8,7,4,5,11,23,7,10,25,137.0,,,,,,,
PIAS / Relatórios,20,19,7,20,7,8,6,10,6,15,9,13,140.0,,,,,,,
Visitas Domiciliares,1,0,0,1,0,1,0,3,0,1,0,0,7.0,,,,,,,
Apadrinhamento afetivo,3,4,5,4,7,2,4,7,6,4,8,10,64.0,,,,,,,
Colocação em família substituta,3,3,5,4,3,2,4,7,6,4,8,10,59.0,,,,,,,
"Reunião de equipe (técnica, casa, coordenação, gerente)",5,5,12,10,9,12,9,11,12,10,12,11,118.0,,,,,,,
Desligamentos,3,3,5,4,3,2,4,7,6,4,8,0,49.0,,,,,,,
Evasão,0,0,10,2,0,0,0,0,0,0,0,0,12.0,,,,,,,
Novos ingressos,0,0,0,0,0,1,4,0,0,2,0,0,7.0,,,,,,,
Transferências,0,0,0,1,0,0,0,0,0,1,0,0,2.0,,,,,,,  
Efetivos na casa,20,20,20,19,18,17,18,18,18,17,17,18,220.0,,,,,,,
Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),3,2,0,1,1,0,0,5,5,0,0,0,17.0,,,,,,,
PROFISSIONALIZAÇÃO,,,,,,,,,,,,,0.0,,profissionalização ,,,,,
INSERIDOS em curso profissionalizante,2,2,0,0,0,0,0,0,0,0,0,0,4.0,,0,,,,,
ENCAMINHADOS para curso profissionalizante,3,0,0,0,0,0,0,0,1,0,0,0,4.0,,,,,,,
INSERIDO no mercado de trabalho,7,13,10,15,6,9,5,9,8,6,6,0,94.0,,,,,,,
ENCAMINHADO para mercado de trabalho,7,12,13,15,6,7,8,10,8,7,6,4,103.0,,,,,,,
SAÚDE,,,,,,,,,,,,,0.0,,Encaminhamentos saúde,,,,,
Saude mental ,39,37,33,39,23,25,35,29,18,15,29,36,358.0,,0,,,,,
Saúde Clínica,20,0,10,15,17,20,24,28,19,20,16,17,206.0,,,,,,,
Internações,3,2,0,1,1,0,0,5,5,0,0,1,18.0,,,,,,,
                          EDUCAÇÃO,,,,,,,,,,,,,,,Encaminhamento educação,,,,,
Ensino infantil ,,,,,,,,,,,,,,,0,,,,,
            matriculados,1,0,0,0,0,0,0,2,1,0,0,0,,,,,,,,
            aguardando vaga,,0,0,0,1,0,2,0,0,0,0,0,,,,,,,,
Ensino regular ,,,,,,,,,,,,,,,,,,,,
            matriculados,2,0,0,0,0,0,0,0,1,0,2,0,,,,,,,,
            aguardando vaga,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Ensino EJA ,,,,,,,,,,,,,,,,,,,,
            matriculados,2,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,
            aguardando vaga,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
SCFV ,,,,,,,,,,,,,,,,,,,,
            matriculados,0,0,0,0,0,0,3,0,0,0,0,,,,,,,,,
            aguardando vaga,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
"Outros: Reforço escolar, psicopedagoga, trabalho educativo",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
